task,image_1,image_2,
AnimalReward,../User/Stimuli/gaze_images/bird1.jpg,../User/Stimuli/gaze_images/cold1.jpg,
AnimalReward,../User/Stimuli/gaze_images/bird3.jpg,../User/Stimuli/gaze_images/car1.jpg,
AnimalReward,../User/Stimuli/gaze_images/cat5.jpg,../User/Stimuli/gaze_images/bricks1.jpg,
AnimalReward,../User/Stimuli/gaze_images/chipmunk2.jpg,../User/Stimuli/gaze_images/phone1.jpg,
AnimalReward,../User/Stimuli/gaze_images/dog6.jpg,../User/Stimuli/gaze_images/archery2.jpg,
AnimalReward,../User/Stimuli/gaze_images/elephant1.jpg,../User/Stimuli/gaze_images/cups1.jpg,
AnimalReward,../User/Stimuli/gaze_images/horse1.jpg,../User/Stimuli/gaze_images/fence1.jpg,
AnimalReward,../User/Stimuli/gaze_images/lamb1.jpg,../User/Stimuli/gaze_images/firehydrant1.jpg,
AnimalReward,../User/Stimuli/gaze_images/penguins2.jpg,../User/Stimuli/gaze_images/roofing2.jpg,
AnimalReward,../User/Stimuli/gaze_images/zebra1.jpg,../User/Stimuli/gaze_images/sidewalk1.jpg,
NonsocialReward,../User/Stimuli/gaze_images/beach1.jpg,../User/Stimuli/gaze_images/ambulance3.jpg,
NonsocialReward,../User/Stimuli/gaze_images/bridge1.jpg,../User/Stimuli/gaze_images/road1.jpg,
NonsocialReward,../User/Stimuli/gaze_images/fireworks2.jpg,../User/Stimuli/gaze_images/officesupplies3.jpg,
NonsocialReward,../User/Stimuli/gaze_images/flowers8.jpg,../User/Stimuli/gaze_images/solarpanel1.jpg,
NonsocialReward,../User/Stimuli/gaze_images/galaxy7.jpg,../User/Stimuli/gaze_images/billiards1.jpg,
NonsocialReward,../User/Stimuli/gaze_images/lake9.jpg,../User/Stimuli/gaze_images/cups2.jpg,
NonsocialReward,../User/Stimuli/gaze_images/nature1.jpg,../User/Stimuli/gaze_images/fence2.jpg,
NonsocialReward,../User/Stimuli/gaze_images/nature2.jpg,../User/Stimuli/gaze_images/firehydrant2.jpg,
NonsocialReward,../User/Stimuli/gaze_images/rainbow2.jpg,../User/Stimuli/gaze_images/roofing3.jpg,
NonsocialReward,../User/Stimuli/gaze_images/sunset5.jpg,../User/Stimuli/gaze_images/sidewalk3.jpg,
SocialReward,../User/Stimuli/gaze_images/baby1.jpg,../User/Stimuli/gaze_images/motocross1.jpg,
SocialReward,../User/Stimuli/gaze_images/couple4.jpg,../User/Stimuli/gaze_images/carrace3.jpg,
SocialReward,../User/Stimuli/gaze_images/dancing7.jpg,../User/Stimuli/gaze_images/timber2.jpg,
SocialReward,../User/Stimuli/gaze_images/excitedface2.jpg,../User/Stimuli/gaze_images/officesupplies5.jpg,
SocialReward,../User/Stimuli/gaze_images/father1.jpg,../User/Stimuli/gaze_images/biking1.jpg,
SocialReward,../User/Stimuli/gaze_images/gazing6.jpg,../User/Stimuli/gaze_images/cups4.jpg,
SocialReward,../User/Stimuli/gaze_images/mother1.jpg,../User/Stimuli/gaze_images/fence6.jpg,
SocialReward,../User/Stimuli/gaze_images/Picnic1.jpg,../User/Stimuli/gaze_images/firehydrant3.jpg,
SocialReward,../User/Stimuli/gaze_images/siblings1.jpg,../User/Stimuli/gaze_images/roofing5.jpg,
SocialReward,../User/Stimuli/gaze_images/wedding10.jpg,../User/Stimuli/gaze_images/sidewalk5.jpg,
,,,