item_name,text,type,answers,values,score:grandiose_total,score:vulnerable,optional,btn_width,side_text,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>For the following items, please reply from 0 (not at all like me)to 5 (very much like me) </span></span>",instruct,,,,,,,,
pni1,1. I can usually talk my way out of anything.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni2,"2. When people don’t notice me, I start to feel bad about myself.",likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni3,3. I often hide my needs for fear that others will see me as needy and desperate.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni4,4. I can make anyone believe anything I want them to.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni5,5. I get annoyed by people who are not interested in what I say or do.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni6,6. I find it easy to manipulate people.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni7,7. Sometimes I avoid people because I’m concerned that they’ll disappoint me.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni8,8. I typically get very angry when I’m unable to get what I want from others.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni9,"9. When others don’t meet my expectations, I often feel ashamed about what I wanted.",likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni10,10. I feel important when others rely on me.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni11,11. I can read people like a book.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni12,12. Sacrificing for others makes me the better person.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni13,13. I often fantasize about accomplishing things that are probably beyond my means.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni14,14. Sometimes I avoid people because I’m afraid they won’t do what I want them to do.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni15,15. It’s hard to show others the weaknesses I feel inside.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni16,16. It’s hard to feel good about myself unless I know other people admire me.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni17,17. I often fantasize about being rewarded for my efforts.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni18,18. I am preoccupied with thoughts and concerns that most people are not interested in me.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni19,19. I like to have friends who rely on me because it makes me feel important.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni20,20. Sometimes I avoid people because I’m concerned they won’t acknowledge what I do for them.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni21,21. It’s hard for me to feel good about myself unless I know other people like me.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni22,22. It irritates me when people don’t notice how good a person I am.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni23,23. I will never be satisfied until I get all that I deserve.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni24,24. I try to show what a good person I am through my sacrifices.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni25,25. I often fantasize about performing heroic deeds.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni26,26. I often fantasize about being recognized for my accomplishments.,likert,0|1|2|3|4|5,0|1|2|3|4|5,1,,No,50px,Not at all like me|Very much like me,
pni27,27. I can’t stand relying on other people because it makes me feel weak.,likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
pni28,"28. When others get a glimpse of my needs, I feel anxious and ashamed.",likert,0|1|2|3|4|5,0|1|2|3|4|5,,1,No,50px,Not at all like me|Very much like me,
,,,,,,,,,,