item_name,text,type,answers,values,score: mce_total,optional,btn_width,reversed?,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>For the following items, please reply with 1 (rarely/never), 2 (occasionally), 3 (often) or 4 (almost always/always) </span></span>",instruct,,,,,,,,
barratt1,1. I plan tasks carefully,date,Rarely/Never|Occasionally|Often|Almost always/Always,1|2|3|4,4|3|2|1,No,100px,Reversed,100px,
barratt2,2. I do things without thinking,dropdown,Rarely/Never|Occasionally|Often|Almost always/Always,1|2|3|4,1|2|3|4,No,100px,,100px,
barratt3,3. I don’t “pay attention”,para,Rarely/Never|Occasionally|Often|Almost always/Always,1|2|3|4,1|2|3|4,No,100px,,100px,
barratt4,4. I am self-controlled,radio,Rarely/Never|Occasionally|Often|Almost always/Always,1|2|3|4,4|3|2|1,No,100px,Reversed,100px,
barratt5,5. I concentrate easily,slider,0|50,0|50,4|3|2|1,No,100px,Reversed,100px,
barratt6,6. I am a careful thinker,text,Rarely/Never|Occasionally|Often|Almost always/Always,1|2|3|4,4|3|2|1,No,100px,Reversed,100px,
barratt7,7. I say things without thinking,likert,Rarely/Never|Occasionally|Often|Almost always/Always,1|2|3|4,1|2|3|4,No,100px,,100px,
barratt8,8. I act on the spur of the moment,likert,Rarely/Never|Occasionally|Often|Almost always/Always,1|2|3|4,1|2|3|4,No,100px,,100px,
,,,,,,,,,,